,Ticker
0,HLT
1,SJM
2,USB
3,WDC
4,LKQ
5,WMB
6,HSIC
7,NCLH
8,RL
9,PKG
10,MDT
11,PSA
12,GE
13,TPL
14,ELV
15,COST
16,BXP
17,GIS
18,TSCO
19,BMY
20,HPE
21,MAR
22,PPL
23,HII
24,CF
25,IPG
26,DD
27,PCAR
28,WBD
29,DFS
30,EQR
31,COR
32,AMGN
33,JBHT
34,DAL
35,GM
36,INTU
37,HSY
38,MMC
39,EQIX
40,HOLX
41,VICI
42,MLM
43,PG
44,LHX
45,LW
46,WFC
47,TJX
48,JNPR
49,HRL
50,DVA
51,MAS
52,TROW
53,SWKS
54,NVR
55,KEY
56,TAP
57,WELL
58,AAPL
59,HES
60,CHTR
61,ABBV
62,TDG
63,ACGL
64,MU
65,UDR
66,PGR
67,AMP
68,PFG
69,UHS
70,DOW
71,ALL
72,EMN
73,TSLA
74,NDAQ
75,CAH
76,KIM
77,TER
78,PEG
79,REGN
80,FI
81,AEE
82,HAS
83,TRV
84,CAT
85,SNA
86,BDX
87,GOOGL
88,COO
89,CPAY
90,APH
91,RVTY
92,MCHP
93,WBA
94,CEG
95,HIG
96,NOC
97,TTWO
98,WAB
99,ZBRA
100,COF
101,CMI
102,UBER
103,DUK
104,ETR
105,AXON
106,CTVA
107,HST
108,WY
109,GPC
110,CDW
111,DRI
112,ETN
113,NWS
114,PTC
115,MDLZ
116,DXCM
117,FICO
118,IEX
119,POOL
120,AVY
121,CME
122,C
123,PM
124,PODD
125,CFG
126,MCD
127,BIIB
128,LUV
129,REG
130,KDP
131,DAY
132,KLAC
133,ORLY
134,GNRC
135,RSG
136,AES
137,CRL
138,ES
139,FFIV
140,AIZ
141,KHC
142,NUE
143,AIG
144,APD
145,TEL
146,SPGI
147,AMCR
148,CVS
149,CLX
150,J
151,MS
152,MTD
153,ATO
154,NRG
155,LOW
156,ANET
157,STLD
158,IT
159,INCY
160,FTV
161,STT
162,SPG
163,LNT
164,DLR
165,AJG
166,BAX
167,FE
168,F
169,OTIS
170,TRGP
171,CAG
172,PLTR
173,HPQ
174,IDXX
175,HUM
176,EPAM
177,ED
178,DVN
179,CRWD
180,BSX
181,TMO
182,NTRS
183,CSGP
184,NFLX
185,PARA
186,EA
187,CTRA
188,DOV
189,SBAC
190,ALGN
191,RF
192,O
193,RTX
194,TFX
195,CB
196,MSCI
197,AWK
198,NSC
199,MKTX
200,CCL
201,PH
202,EBAY
203,EXR
204,VTRS
205,CNP
206,CPRT
207,KMX
208,BALL
209,FITB
210,EFX
211,FCX
212,EMR
213,NTAP
214,EG
215,PNC
216,XOM
217,LRCX
218,MA
219,AON
220,CSCO
221,WTW
222,ADP
223,STX
224,ESS
225,KO
226,MPC
227,TXN
228,NEE
229,DG
230,DHI
231,PCG
232,GDDY
233,FSLR
234,VTR
